1,38344,31399,6945,38344,6945
2,11135,7420,3715,10690,3936
2,4755,2611,2144,,
2,11377,5956,5421,,
2,20274,13699,6575,,
2,11459,8701,2758,,
2,5140,2138,3002,,
3,26738,22600,4138,26738,4138
10,9936,7943,1993,9936,1993
11,1980,1694,286,1980,286
13,25358,22464,2894,9305,1341
13,1452,815,637,,
13,1104,613,491,,
14,39084,35514,3570,30825,5178
14,48836,39419,9417,,
14,4770,3807,963,,
14,30610,23847,6763,,
15,31615,26565,5050,31615,5050
19,10123,9093,1030,5478,668
19,4003,3435,568,,
19,2309,1903,406,,
25,12268,4665,7603,12268,7603
26,42187,33133,9054,42187,9054
29,8362,6174,2188,13674,3103
29,18986,14969,4017,,
30,37560,27039,10521,14268,4312
30,1283,539,744,,
30,3961,2291,1670,,
31,26386,24236,2150,26386,2150
32,12038,6324,5714,19646,4475
32,27254,24018,3236,,
34,30801,22726,8075,14822,3509
34,3080,1780,1300,,
34,27382,22172,5210,,
34,4434,3054,1380,,
34,8414,6836,1578,,
37,2330,900,1430,9219,4863
37,5796,3423,2373,,
37,15545,6449,9096,,
37,20235,10288,9947,,
37,2191,723,1468,,
38,2926,2354,572,2926,572
39,3148,2312,836,3071,1052
39,5578,4197,1381,,
39,2042,950,1092,,
39,1516,617,899,,
40,2880,2106,774,4507,1063
40,4933,2796,2137,,
40,2927,1728,1199,,
40,1090,749,341,,
40,13722,11942,1780,,
40,1492,1344,148,,
41,2784,1277,1507,7909,3267
41,6060,2886,3174,,
41,6873,2433,4440,,
41,15920,11972,3948,,
42,8765,6288,2477,3364,1027
42,1554,1122,432,,
42,2334,1514,820,,
42,2890,2048,842,,
42,1279,715,564,,
45,2399,1359,1040,3019,1491
45,1629,877,752,,
45,5029,2348,2681,,
46,4965,2784,2181,16358,4214
46,4612,2657,1955,,
46,6292,4272,2020,,
46,17897,13575,4322,,
46,48026,37434,10592,,
47,40628,24282,16346,22332,8090
47,33785,23529,10256,,
47,20342,10896,9446,,
47,10284,8182,2102,,
47,2072,1412,660,,
47,26880,17148,9732,,
44,754,610,144,23315,1183
44,45876,43654,2222,,
48,15680,11337,4343,15680,4343
50,14579,14182,397,21259,1992
50,27939,24352,3587,,
52,2767,1523,1244,2767,1244
55,31203,25429,5774,16174,3055
55,1144,808,336,,
56,5767,4479,1288,5767,1288
57,15121,13973,1148,10238,846
57,1304,992,312,,
57,14288,13211,1077,,
61,24289,21538,2751,25373,1759
61,26457,25691,766,,
70,1045,426,619,9092,3231
70,17138,11296,5842,,
71,1589,1305,284,1589,284
72,22644,15541,7103,22644,7103
75,22504,19080,3424,26425,6008
75,30345,21754,8591,,
76,5197,3512,1685,5197,1685
77,28632,24935,3697,28632,3697
78,31070,26121,4949,31070,4949
79,32284,25242,7042,17638,4130
79,2992,1774,1218,,
80,33246,24572,8674,27854,5487
80,56637,42607,14030,,
80,1246,706,540,,
80,650,368,282,,
80,47490,43579,3911,,
82,11628,9108,2520,11628,2520
81,19931,16136,3795,24049,5128
81,28166,21705,6461,,
89,19650,18087,1563,16754,2362
89,13858,10697,3161,,
96,29042,20880,8162,27459,11251
96,25875,11535,14340,,
97,38406,24434,13972,38406,13972
103,40302,33225,7077,25707,4096
103,11112,9998,1114,,
107,8497,3698,4799,15329,11291
107,1899,265,1634,,
107,59682,15148,44534,,
107,13301,3837,9464,,
107,2924,424,2500,,
107,5673,859,4814,,
108,8951,3608,5343,16555,7339
108,14562,10951,3611,,
108,33904,18700,15204,,
108,14394,9156,5238,,
108,2442,1200,1242,,
108,3818,2110,1708,,
108,14752,8578,6174,,
108,47955,24034,23921,,
108,8215,4604,3611,,
110,7848,6706,1142,5952,682
110,4055,3834,221,,
111,16667,12491,4176,23774,8784
111,45148,24780,20368,,
111,9508,7701,1807,,
112,13231,10885,2346,14133,1914
112,15034,13552,1482,,
113,16569,7763,8806,7587,3485
113,4813,3514,1299,,
113,1378,1027,351,,
114,9772,7518,2254,6067,2277
114,3729,2105,1624,,
114,4701,1749,2952,,
