1,0.19 ,31399,6945
2,0.06 ,7420,3715
2,0.03 ,2611,2144
2,0.23 ,5956,5421
2,0.39 ,13699,6575
2,0.51 ,8701,2758
2,1.13 ,2138,3002
3,0.05 ,22600,4138
10,0.32 ,7943,1993
11,0.07 ,1694,286
13,0.08 ,22464,2894
13,0.09 ,815,637
13,0.02 ,613,491
14,0.80 ,35514,3570
14,0.15 ,39419,9417
14,0.05 ,3807,963
14,0.21 ,23847,6763
15,0.18 ,26565,5050
19,0.05 ,9093,1030
19,0.02 ,3435,568
19,0.01 ,1903,406
25,0.07 ,4665,7603
26,0.13 ,33133,9054
29,0.08 ,6174,2188
29,0.02 ,14969,4017
30,0.30 ,27039,10521
30,0.03 ,539,744
30,0.11 ,2291,1670
31,0.16 ,24236,2150
32,0.01 ,6324,5714
32,0.10 ,24018,3236
34,0.26 ,22726,8075
34,0.64 ,1780,1300
34,0.68 ,22172,5210
34,0.94 ,3054,1380
34,0.05 ,6836,1578
37,0.10 ,900,1430
37,0.16 ,3423,2373
37,0.01 ,6449,9096
37,0.12 ,10288,9947
37,0.01 ,723,1468
38,0.05 ,2354,572
39,0.36 ,2312,836
39,0.11 ,4197,1381
39,0.10 ,950,1092
39,0.06 ,617,899
40,0.09 ,2106,774
40,0.26 ,2796,2137
40,0.08 ,1728,1199
40,0.11 ,749,341
40,0.10 ,11942,1780
40,0.12 ,1344,148
41,0.01 ,1277,1507
41,0.20 ,2886,3174
41,0.04 ,2433,4440
41,0.80 ,11972,3948
42,0.26 ,6288,2477
42,0.27 ,1122,432
42,0.16 ,1514,820
42,0.05 ,2048,842
42,0.12 ,715,564
45,0.22 ,1359,1040
45,0.13 ,877,752
45,0.04 ,2348,2681
46,0.21 ,2784,2181
46,0.13 ,2657,1955
46,0.04 ,4272,2020
46,0.31 ,13575,4322
46,0.14 ,37434,10592
47,0.17 ,24282,16346
47,0.40 ,23529,10256
47,0.50 ,10896,9446
47,0.10 ,8182,2102
47,0.46 ,1412,660
47,0.70 ,17148,9732
44,0.21 ,610,144
44,1.23 ,43654,2222
48,1.94 ,11337,4343
50,0.04 ,14182,397
50,0.10 ,24352,3587
52,0.12 ,1523,1244
55,0.29 ,25429,5774
55,0.17 ,808,336
56,0.05 ,4479,1288
57,0.11 ,13973,1148
57,0.17 ,992,312
57,0.17 ,13211,1077
61,0.17 ,21538,2751
61,0.99 ,25691,766
70,0.08 ,426,619
70,0.52 ,11296,5842
71,0.16 ,1305,284
72,0.29 ,15541,7103
75,0.60 ,19080,3424
75,0.71 ,21754,8591
76,0.02 ,3512,1685
77,0.50 ,24935,3697
78,0.13 ,26121,4949
79,0.95 ,25242,7042
79,0.10 ,1774,1218
80,0.23 ,24572,8674
80,0.64 ,42607,14030
80,0.35 ,706,540
80,0.05 ,368,282
80,0.43 ,43579,3911
82,0.12 ,9108,2520
81,0.14 ,16136,3795
81,0.13 ,21705,6461
89,0.48 ,18087,1563
89,0.08 ,10697,3161
96,0.20 ,20880,8162
96,0.15 ,11535,14340
97,0.75 ,24434,13972
103,1.30 ,33225,7077
103,0.03 ,9998,1114
107,0.11 ,3698,4799
107,0.03 ,265,1634
107,1.19 ,15148,44534
107,0.49 ,3837,9464
107,0.14 ,424,2500
107,0.10 ,859,4814
108,0.17 ,3608,5343
108,0.45 ,10951,3611
108,0.56 ,18700,15204
108,0.27 ,9156,5238
108,0.06 ,1200,1242
108,0.06 ,2110,1708
108,0.11 ,8578,6174
108,0.02 ,24034,23921
108,0.13 ,4604,3611
110,0.28 ,6706,1142
110,1.11 ,3834,221
111,0.08 ,12491,4176
111,0.10 ,24780,20368
111,0.07 ,7701,1807
112,0.12 ,10885,2346
112,0.70 ,13552,1482
113,0.99 ,7763,8806
113,0.24 ,3514,1299
113,0.18 ,1027,351
114,1.86 ,7518,2254
114,0.08 ,2105,1624
114,0.08 ,1749,2952
